,state_code,state_name,district_name,district_code,Dist2011,num_blocks
1,1,ANDAMAN AND NICOBAR,NICOBARS,102,638,3
2,1,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,103,639,3
3,1,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,101,640,3
4,2,ANDHRA PRADESH,ANANTAPUR,212,553,63
5,2,ANDHRA PRADESH,CHITTOOR,210,554,66
6,2,ANDHRA PRADESH,CUDDAPAH,211,551,50
7,2,ANDHRA PRADESH,EAST GODAVARI,204,545,58
8,2,ANDHRA PRADESH,GUNTUR,207,548,57
9,2,ANDHRA PRADESH,KRISHNA,206,547,49
10,2,ANDHRA PRADESH,KURNOOL,213,552,54
11,2,ANDHRA PRADESH,NELLORE,209,550,46
12,2,ANDHRA PRADESH,PRAKASAM,208,549,56
13,2,ANDHRA PRADESH,SRIKAKULAM,201,542,38
14,2,ANDHRA PRADESH,VISAKHAPATANAM,203,544,39
15,2,ANDHRA PRADESH,VIZIANAGARAM,202,543,34
16,2,ANDHRA PRADESH,WEST GODAVARI,205,546,46
17,3,ARUNACHAL PRADESH,ANJAW,317,260,4
18,3,ARUNACHAL PRADESH,CHANGLANG,310,253,8
19,3,ARUNACHAL PRADESH,EAST KAMENG,303,247,8
20,3,ARUNACHAL PRADESH,EAST SIANG,307,251,4
21,3,ARUNACHAL PRADESH,KURUNG KUMEY,316,256,6
22,3,ARUNACHAL PRADESH,LOHIT,309,259,2
23,3,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,314,258,3
24,3,ARUNACHAL PRADESH,LOWER SUBANSIRI,304,255,3
25,3,ARUNACHAL PRADESH,PAPUM PARE,312,248,5
26,3,ARUNACHAL PRADESH,TAWANG,301,245,6
27,3,ARUNACHAL PRADESH,TIRAP,311,254,4
28,3,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,315,257,3
29,3,ARUNACHAL PRADESH,UPPER SIANG,313,252,6
30,3,ARUNACHAL PRADESH,UPPER SUBANSIRI,305,249,9
31,3,ARUNACHAL PRADESH,WEST KAMENG,302,246,5
32,3,ARUNACHAL PRADESH,WEST SIANG,306,250,10
33,4,ASSAM,BAKSA,424,324,8
34,4,ASSAM,BARPETA,405,303,12
35,4,ASSAM,BONGAIGAON,403,319,5
36,4,ASSAM,CACHAR,423,316,15
37,4,ASSAM,CHIRANG,425,320,3
38,4,ASSAM,DARRANG,408,325,7
39,4,ASSAM,DHEMAJI,411,308,5
40,4,ASSAM,DHUBRI,401,301,15
41,4,ASSAM,DIBRUGARH,417,310,7
42,4,ASSAM,DIMA HASAO(NORTH CACHAR HILLS),420,315,5
43,4,ASSAM,GOALPARA,404,302,8
44,4,ASSAM,GOLAGHAT,414,313,8
45,4,ASSAM,HAILAKANDI,422,318,5
46,4,ASSAM,JORHAT,415,312,8
47,4,ASSAM,KAMRUP,407,321,14
48,4,ASSAM,KAMRUP-METRO,426,322,4
49,4,ASSAM,KARBI ANGLONG,419,314,11
50,4,ASSAM,KARIMGANJ,421,317,7
51,4,ASSAM,KOKRAJHAR,402,300,9
52,4,ASSAM,LAKHIMPUR,410,307,9
53,4,ASSAM,MORIGAON,412,304,7
54,4,ASSAM,NAGAON,413,305,18
55,4,ASSAM,NALBARI,406,323,7
56,4,ASSAM,SIVASAGAR,416,311,9
57,4,ASSAM,SONITPUR,409,306,13
58,4,ASSAM,TINSUKIA,418,309,7
59,4,ASSAM,UDALGURI,427,326,10
60,5,BIHAR,ARARIA,541,209,9
61,5,BIHAR,ARWAL,551,240,5
62,5,BIHAR,AURANAGABAD,505,235,11
63,5,BIHAR,BANKA,545,225,11
64,5,BIHAR,BEGUSARAI,517,222,18
65,5,BIHAR,BHAGALPUR,527,224,15
66,5,BIHAR,BHOJPUR,503,231,14
67,5,BIHAR,BUXAR,548,232,11
68,5,BIHAR,DARBHANGA,519,215,18
69,5,BIHAR,GAYA,507,236,24
70,5,BIHAR,GOPALGANJ,511,217,14
71,5,BIHAR,JAMUI,550,238,10
72,5,BIHAR,JEHANABAD,506,239,7
73,5,BIHAR,KAIMUR alias BHABUA,549,233,11
74,5,BIHAR,KATIHAR,524,212,16
75,5,BIHAR,KHAGARIA,525,223,7
76,5,BIHAR,KISHANGANJ,542,210,7
77,5,BIHAR,LAKHISARAI,546,227,7
78,5,BIHAR,MADHEPURA,522,213,13
79,5,BIHAR,MADHUBANI,520,207,21
80,5,BIHAR,MUNGER,526,226,9
81,5,BIHAR,MUZAFFARPUR,515,216,16
82,5,BIHAR,NALANDA,502,229,20
83,5,BIHAR,NAWADA,508,237,14
84,5,BIHAR,PASHCHIM CHAMPARAN,512,203,18
85,5,BIHAR,PATNA,501,230,23
86,5,BIHAR,PURBI CHAMPARAN,513,204,26
87,5,BIHAR,PURNIA,523,211,14
88,5,BIHAR,ROHTAS,504,234,19
89,5,BIHAR,SAHARSA,521,214,10
90,5,BIHAR,SAMASTIPUR,518,221,20
91,5,BIHAR,SARAN,509,219,20
92,5,BIHAR,SHEIKHPURA,547,228,6
93,5,BIHAR,SHEOHAR,543,205,5
94,5,BIHAR,SITAMARHI,514,206,17
95,5,BIHAR,SIWAN,510,218,19
96,5,BIHAR,SUPAUL,544,208,11
97,5,BIHAR,VAISHALI,516,220,16
98,7,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,701,496,1
99,8,DAMAN AND DIU,DAMAN,801,495,1
100,8,DAMAN AND DIU,DIU,802,494,1
101,10,GOA,NORTH GOA,1001,585,6
102,10,GOA,SOUTH GOA,1002,586,5
103,11,GUJARAT,AHMADABAD,1112,474,8
104,11,GUJARAT,AMRELI,1105,480,11
105,11,GUJARAT,ANAND,1122,482,8
106,11,GUJARAT,BANAS KANTHA,1108,469,12
107,11,GUJARAT,BHARUCH,1116,488,8
108,11,GUJARAT,BHAVNAGAR,1104,481,9
109,11,GUJARAT,DOHAD,1123,485,7
110,11,GUJARAT,GANDHINAGAR,1111,473,4
111,11,GUJARAT,JAMNAGAR,1101,477,6
112,11,GUJARAT,JUNAGADH,1106,479,9
113,11,GUJARAT,KACHCHH,1107,468,10
114,11,GUJARAT,KHEDA,1113,483,8
115,11,GUJARAT,MAHESANA,1110,471,9
116,11,GUJARAT,NARMADA,1124,487,4
117,11,GUJARAT,NAVSARI,1125,490,5
118,11,GUJARAT,PANCH MAHALS,1114,484,7
119,11,GUJARAT,PATAN,1120,470,7
120,11,GUJARAT,PORBANDAR,1121,478,3
121,11,GUJARAT,RAJKOT,1102,476,10
122,11,GUJARAT,SABAR KANTHA,1109,472,7
123,11,GUJARAT,SURAT,1117,492,9
124,11,GUJARAT,SURENDRANAGAR,1103,475,9
125,11,GUJARAT,TAPI,1126,493,5
126,11,GUJARAT,VADODARA,1115,486,7
127,11,GUJARAT,VALSAD,1118,491,5
128,12,HARYANA,AMBALA,1201,70,6
129,12,HARYANA,BHIWANI,1213,81,10
130,12,HARYANA,FARIDABAD,1209,88,2
131,12,HARYANA,FATEHABAD,1218,78,6
132,12,HARYANA,GURGAON,1210,86,4
133,12,HARYANA,HISAR,1215,80,9
134,12,HARYANA,JHAJJAR,1220,83,5
135,12,HARYANA,JIND,1214,77,7
136,12,HARYANA,KAITHAL,1204,73,6
137,12,HARYANA,KARNAL,1205,74,6
138,12,HARYANA,KURUKSHETRA,1203,72,5
139,12,HARYANA,MAHENDRAGARH,1212,84,5
140,12,HARYANA,MEWAT,1219,87,5
141,12,HARYANA,PALWAL,1221,89,4
142,12,HARYANA,PANCHKULA,1217,69,4
143,12,HARYANA,PANIPAT,1206,75,5
