Unique_ID,state_crisil,dist_crisil,Crisil_Inclusix_Scores_16,Crisil_Inclusix_ranks_16,NIC_district_code,censuscode
1,Andaman and Nicobar,Nicobar,33.3,543,102,638
2,Andaman and Nicobar,North and Middle,39,486,103,639
3,Andaman and Nicobar,South Andaman,78.4,91,101,640
4,Andhra Pradesh,Anantapur,69.3,165,212,553
5,Andhra Pradesh,Chittoor,68.8,175,210,554
6,Andhra Pradesh,Cuddapah,75.5,115,211,551
7,Andhra Pradesh,East Godavari,78.5,88,204,545
8,Andhra Pradesh,Guntur,85.1,56,207,548
9,Andhra Pradesh,Krishna,89.7,36,206,547
10,Andhra Pradesh,Kurnool,68.4,178,213,552
11,Andhra Pradesh,Nellore,75.3,117,209,550
12,Andhra Pradesh,Prakasam,79.2,83,208,549
13,Andhra Pradesh,Srikakulam,73.6,129,201,542
14,Andhra Pradesh,Visakhapatnam,93.6,21,203,544
15,Andhra Pradesh,Vizianagaram,71.4,145,202,543
16,Andhra Pradesh,West Godavari,82,72,205,546
17,Arunachal Pradesh,Anjaw,28.1,601,317,260
18,Arunachal Pradesh,Chunglang,22,641,310,253
19,Arunachal Pradesh,Dibang Valley,51.9,318,,
20,Arunachal Pradesh,East Kameng,18,654,303,247
21,Arunachal Pradesh,East Siang,56.8,276,307,251
22,Arunachal Pradesh,Kurung Kumey,5.2,666,316,256
23,Arunachal Pradesh,Lohit,26.9,615,309,259
24,Arunachal Pradesh,Longding,17.2,656,318,
25,Arunachal Pradesh,Lower Dibang Valley,24.1,631,314,258
26,Arunachal Pradesh,Lower Subansiri,38,498,304,255
27,Arunachal Pradesh,PAPUM PARE,76,111,312,248
28,Arunachal Pradesh,Tawang,37.1,509,301,245
29,Arunachal Pradesh,Tirap,21.3,644,311,254
30,Arunachal Pradesh,Upper Siang,35.2,525,313,252
31,Arunachal Pradesh,Upper Subansiri,21.8,642,305,249
32,Arunachal Pradesh,West Kameng,40,470,302,246
33,Arunachal Pradesh,West Siang,38.5,490,306,250
34,Assam,Baksa,24,632,424,324
35,Assam,Barpeta,43.2,420,405,303
36,Assam,Bongaigaon,53.1,303,403,319
37,Assam,Cachar,48.9,350,423,316
38,Assam,Chirang,30.1,578,425,320
39,Assam,Darrang,44.1,416,408,325
40,Assam,Dhemaji,35.8,522,411,308
41,Assam,Dhubri,28.4,597,401,301
42,Assam,Dibrugarh,69,171,417,310
43,Assam,Goalpara,32.6,552,404,302
44,Assam,Golaghat,58.6,263,414,313
45,Assam,Hailakandi,36.5,518,422,318
46,Assam,Jorhat,75.4,116,415,312
47,Assam,Kamrup,65.5,195,407,321
48,Assam,KAMRUP-METRO,91.8,28,426,322
49,Assam,Karbi Anglong,43.8,418,419,314
50,Assam,Karimganj,34.8,531,421,317
51,Assam,Kokrajhar,31.7,560,402,300
52,Assam,Lakhimpur,48.4,355,410,307
53,Assam,Morigaon,40.6,457,412,304
54,Assam,Nagaon,39.7,476,413,305
55,Assam,Nalbari,62.1,233,406,323
56,Assam,DIMA HASAO(NORTH CACHAR HILLS),,398,420,315
57,Assam,SIVASAGAR,62.8,226,416,311
58,Assam,Sonitpur,48.4,358,409,306
59,Assam,Tinsukia,54.4,291,418,309
60,Assam,Udalguri,30.7,568,427,326
61,Bihar,Araria,28,604,541,209
62,Bihar,Arwal,29.4,585,551,240
63,Bihar,AURANAGABAD,35,529,505,235
64,Bihar,Banka,34.7,534,545,225
65,Bihar,Begusarai,45.2,402,517,222
66,Bihar,Bhagalpur,42.1,438,527,224
