"","State","District","earliest_block_date","Age","Total_HHs_Mob","Total_SHGs","RF_Eligible","RF_Provided_Num","RF_Amt","CIF_Provided_Num","CIF_Amt","Total_CIS","state_code","district_code","censuscode"
"1","ARUNACHAL PRADESH","EAST KAMENG",2017-10-01,0.5,145,17,0,0,0,0,0,0,3,303,247
"2","ARUNACHAL PRADESH","EAST SIANG",2017-10-01,0.5,685,66,0,0,0,0,0,0,3,307,251
"3","ARUNACHAL PRADESH","LOHIT",2017-09-11,0.6,223,26,3,0,0,0,0,0,3,309,259
"4","ARUNACHAL PRADESH","LOWER DIBANG VALLEY",2016-10-06,1.5,853,85,62,46,6.9,11,5.6,12.5,3,314,258
"5","ARUNACHAL PRADESH","LOWER SUBANSIRI",2017-10-01,0.5,919,111,60,39,5.8,0,0,5.8,3,304,255
"6","ARUNACHAL PRADESH","PAPUM PARE",2016-09-15,1.6,832,107,64,41,6.2,0,0,6.2,3,312,248
"7","ARUNACHAL PRADESH","UPPER SIANG",2017-10-01,0.5,182,19,19,9,1.4,0,0,1.4,3,313,252
"8","ARUNACHAL PRADESH","UPPER SUBANSIRI",2016-10-01,1.5,748,86,57,52,7.8,0,0,7.8,3,305,249
"9","ARUNACHAL PRADESH","WEST SIANG",2017-10-01,0.5,1402,142,60,43,6.5,0,0,6.5,3,306,250
"10","ASSAM","BAKSA",2017-12-01,0.4,33031,3006,2012,1854,269.6,256,116.5,386.1,4,424,324
"11","ASSAM","BARPETA",2015-08-01,2.7,31831,3125,2658,2550,366.9,744,353.2,720.1,4,405,303
"12","ASSAM","BONGAIGAON",2017-12-01,0.4,29962,2660,2175,1858,265.2,734,320,585.2,4,403,319
"13","ASSAM","CACHAR",2017-12-01,0.4,19515,1707,1373,1254,180.6,245,122.5,303.1,4,423,316
"14","ASSAM","CHIRANG",2012-11-09,5.4,49699,4237,3732,3631,523.7,1213,606.5,1130.2,4,425,320
"15","ASSAM","DARRANG",2017-12-01,0.4,36739,3509,3035,2499,355.6,653,326.2,681.8,4,408,325
"16","ASSAM","DHEMAJI",2017-12-01,0.4,54349,5144,4173,3765,536,1034,517,1053,4,411,308
"17","ASSAM","DHUBRI",2017-12-01,0.4,14292,1390,1357,1066,159.4,250,125,284.4,4,401,301
"18","ASSAM","DIBRUGARH",2017-12-01,0.4,33553,2930,2711,2348,303.9,477,194.9,498.8,4,417,310
"19","ASSAM","DIMA HASAO(NORTH CACHAR HILLS)",2017-12-01,0.4,8854,857,807,682,96.3,323,161.5,257.8,4,420,315
"20","ASSAM","GOALPARA",2017-12-01,0.4,37144,3571,2502,2337,330.7,587,293.5,624.2,4,404,302
"21","ASSAM","GOLAGHAT",2017-12-01,0.4,52656,5096,3274,3088,391.5,1011,505.5,897,4,414,313
"22","ASSAM","HAILAKANDI",2017-12-01,0.4,27573,2418,2058,1836,272.6,296,148,420.6,4,422,318
"23","ASSAM","JORHAT",2017-12-01,0.4,47401,4391,4092,3806,483.1,1401,700.5,1183.6,4,415,312
"24","ASSAM","KAMRUP",2017-12-01,0.4,54464,5392,3958,3265,422.2,1631,774.6,1196.8,4,407,321
"25","ASSAM","KAMRUP-METRO",2015-08-07,2.7,22695,2350,2265,2206,313.6,831,387.5,701.1,4,426,322
"26","ASSAM","KARBI ANGLONG",2013-01-01,5.3,35541,3365,2789,2265,333.1,1194,596.8,929.9,4,419,314
"27","ASSAM","KARIMGANJ",2017-12-01,0.4,32855,2876,2577,2128,303.4,710,355,658.4,4,421,317
"28","ASSAM","KOKRAJHAR",2015-08-01,2.7,42335,3920,3591,3211,458.1,1388,433.8,891.9,4,402,300
"29","ASSAM","LAKHIMPUR",2017-12-01,0.4,35991,3433,3143,2710,365.2,963,481.5,846.7,4,410,307
"30","ASSAM","MORIGAON",2017-12-01,0.4,39864,3786,3083,2192,311.8,757,281,592.8,4,412,304
"31","ASSAM","NAGAON",2017-12-01,0.4,113685,10687,7872,7542,1098.4,3957,1978.5,3076.9,4,413,305
"32","ASSAM","NALBARI",2017-12-01,0.4,40613,3468,3853,2363,310.9,583,291.8,602.7,4,406,323
