statename,districtname,state_secc_code,dist_secc_code,TotPop,TotHH,atleast1dep,atleast1inc,Target_HHs,per_tgt_tot_HH,censuscode
ANDHRA PRADESH,Anantapur,28,22,2927491,686743,299418,5170,304588,44.35,553
ANDHRA PRADESH,Chittoor,28,23,3212549,798870,264389,675,265064,33.18,554
ANDHRA PRADESH,Guntur,28,17,3224227,862356,513980,2977,516957,59.95,548
ANDHRA PRADESH,Krishna,28,16,3050229,852522,501720,1798,503518,59.06,547
ANDHRA PRADESH,Kurnool,28,21,2870526,637178,243735,2844,246579,38.70,552
ANDHRA PRADESH,Prakasam,28,18,2759464,701745,353841,1245,355086,50.60,549
ANDHRA PRADESH,Srikakulam,28,11,2230676,558929,268511,1162,269673,48.25,542
ANDHRA PRADESH,Vizianagaram,28,12,1921614,478978,256929,6471,263400,54.99,543
ARUNACHAL PRADESH,Anjaw,12,16,18801,4179,2858,18,2876,68.82,260
ARUNACHAL PRADESH,Changlang,12,9,122446,23292,6455,125,6580,28.25,253
ARUNACHAL PRADESH,East Kameng,12,3,60520,12256,7395,128,7523,61.38,247
ARUNACHAL PRADESH,East Siang,12,7,64927,12593,4381,55,4436,35.23,251
ARUNACHAL PRADESH,Kurung Kumey,12,12,94323,17068,8948,15,8963,52.51,256
ARUNACHAL PRADESH,Lohit,12,15,112822,22686,10030,41,10071,44.39,259
ARUNACHAL PRADESH,Lower Dibang Valley,12,14,37559,7905,2213,72,2285,28.91,258
ARUNACHAL PRADESH,Lower Subansiri,12,11,61250,11726,2816,31,2847,24.28,255
ARUNACHAL PRADESH,Papum Pare,12,4,70170,13493,1420,57,1477,10.95,248
ARUNACHAL PRADESH,Tawang,12,1,33431,8247,5668,47,5715,69.30,245
ARUNACHAL PRADESH,Tirap,12,10,92290,15931,4027,66,4093,25.69,254
ARUNACHAL PRADESH,Upper Siang,12,8,26623,5487,3255,92,3347,61.00,252
ARUNACHAL PRADESH,Upper Subansiri,12,5,81221,16628,5809,2340,8149,49.01,249
ARUNACHAL PRADESH,West Kameng,12,2,55017,12755,2578,170,2748,21.54,246
ARUNACHAL PRADESH,West Siang,12,6,86029,16355,4570,300,4870,29.78,250
ASSAM,Baksa,18,25,978995,196332,115562,628,116190,59.18,324
ASSAM,Barpeta,18,4,1626957,322866,194476,3602,198078,61.35,303
ASSAM,Bongaigaon,18,20,663803,137285,78551,1004,79555,57.95,319
ASSAM,Cachar,18,17,1556300,340309,156082,2268,158350,46.53,316
ASSAM,Chirang,18,21,452621,91718,53895,379,54274,59.17,320
ASSAM,Darrang,18,26,909054,186731,100518,2470,102988,55.15,325
ASSAM,Dhemaji,18,9,681291,130473,66595,212,66807,51.20,308
ASSAM,Dhubri,18,2,1842600,387940,271373,5121,276494,71.27,301
ASSAM,Dibrugarh,18,11,1166781,244630,93304,352,93656,38.28,310
ASSAM,Goalpara,18,3,964963,189692,122443,1780,124223,65.49,302
ASSAM,Golaghat,18,14,992972,210230,86672,569,87241,41.50,313
ASSAM,Hailakandi,18,19,628228,136073,62667,1063,63730,46.84,318
ASSAM,Jorhat,18,13,989520,183025,80254,486,80740,44.11,312
ASSAM,Kamrup,18,22,1504763,308249,137415,1392,138807,45.03,321
ASSAM,Karimganj,18,18,1173109,229937,107249,2214,109463,47.61,317
ASSAM,Kokrajhar,18,1,876748,176025,101310,647,101957,57.92,300
ASSAM,Lakhimpur,18,8,982909,188714,85623,628,86251,45.70,307
ASSAM,Morigaon,18,5,958634,183516,107826,1265,109091,59.44,304
ASSAM,Nagaon,18,6,2613848,503461,253197,3184,256381,50.92,305
ASSAM,Nalbari,18,24,764428,153630,68141,1354,69495,45.24,323
ASSAM,Sivasagar,18,12,1063934,226379,71004,552,71556,31.61,311
ASSAM,Sonitpur,18,7,1803346,357582,159061,1084,160145,44.79,306
ASSAM,Tinsukia,18,10,1146428,225888,86214,344,86558,38.32,309
ASSAM,Udalguri,18,27,807488,161729,90500,558,91058,56.30,326
BIHAR,Araria,10,7,2960510,595834,412196,1279,413475,69.39,209
BIHAR,Arwal,10,38,716021,116644,62949,179,63128,54.12,240
BIHAR,Banka,10,23,2027955,384455,232655,789,233444,60.72,225
BIHAR,Begusarai,10,20,2518273,491437,349949,793,350742,71.37,222
BIHAR,Bhagalpur,10,22,2601741,468355,286513,579,287092,61.30,224
BIHAR,Bhojpur,10,29,2737006,419641,215250,1460,216710,51.64,231
BIHAR,Buxar,10,30,1654596,238210,103640,244,103884,43.61,232
BIHAR,Darbhanga,10,13,3860158,817164,600454,3356,603810,73.89,215
BIHAR,Gaya,10,34,4132134,659015,370121,1083,371204,56.33,236
BIHAR,Gopalganj,10,15,2558985,389899,164731,548,165279,42.39,217
BIHAR,Jamui,10,36,1731150,292670,164863,512,165375,56.51,238
BIHAR,Jehanabad,10,37,1068836,164924,85049,233,85282,51.71,239
BIHAR,Katihar,10,10,2894274,582089,423806,1986,425792,73.15,212
BIHAR,Khagaria,10,21,1740907,347924,254782,518,255300,73.38,223
BIHAR,Kishanganj,10,8,1562012,308989,219600,1548,221148,71.57,210
BIHAR,Lakhisarai,10,25,903718,141284,77547,103,77650,54.96,227
BIHAR,Madhepura,10,11,1984874,402414,271333,469,271802,67.54,213
BIHAR,Madhubani,10,5,4541588,886810,526826,1424,528250,59.57,207
BIHAR,Munger,10,24,1007736,201233,137422,629,138051,68.60,226
BIHAR,Muzaffarpur,10,14,4424275,876341,537640,1483,539123,61.52,216
BIHAR,Nalanda,10,27,2784852,462838,239605,709,240314,51.92,229
BIHAR,Nawada,10,35,2410709,349738,191074,303,191377,54.72,237
BIHAR,Pashchim Champaran,10,1,3525431,681326,417271,1318,418589,61.44,203
BIHAR,Patna,10,28,4033998,690850,392577,4000,396577,57.40,230
BIHAR,Purnia,10,9,2960561,591936,414772,1279,416051,70.29,211
BIHAR,Rohtas,10,32,2665573,409854,206183,911,207094,50.53,234
BIHAR,Saharsa,10,12,1845349,351154,246131,471,246602,70.23,214
BIHAR,Samastipur,10,19,4422383,831029,556640,1313,557953,67.14,221
BIHAR,Saran,10,17,3644695,577746,271749,697,272446,47.16,219
BIHAR,Sheikhpura,10,26,598693,91847,50901,143,51044,55.58,228
BIHAR,Sheohar,10,3,629254,149211,101770,302,102072,68.41,205
BIHAR,Sitamarhi,10,4,3315933,725723,494537,1725,496262,68.38,206
BIHAR,Siwan,10,16,3448096,519048,217430,1034,218464,42.09,218
BIHAR,Supaul,10,6,2226904,455280,285483,829,286312,62.89,208
BIHAR,Vaishali,10,18,3507774,629950,418737,683,419420,66.58,220
CHHATTISGARH,Bastar,22,15,1201576,276389,214871,1059,215930,78.13,414
CHHATTISGARH,Bijapur,22,18,218546,49561,40631,1823,42454,85.66,417
CHHATTISGARH,Bilaspur,22,7,2035228,487718,364896,9905,374801,76.85,406
CHHATTISGARH,Durg,22,10,1983534,424416,239662,2623,242285,57.09,409
CHHATTISGARH,Mahasamund,22,12,971723,244641,177615,3472,181087,74.02,411
CHHATTISGARH,Narayanpur,22,16,112541,23114,15101,5048,20149,87.17,415
CHHATTISGARH,Raigarh,22,4,1237368,315091,229544,5944,235488,74.74,403
CHHATTISGARH,Raipur,22,11,2582390,584585,394700,10064,404764,69.24,410
CHHATTISGARH,Surguja,22,2,2080071,489557,352557,26505,379062,77.43,401
DAMAN AND DIU,DAMAN,25,2,104795,27451,5406,3432,8838,32.20,495
DAMAN AND DIU,DIU,25,1,22658,4344,907,87,994,22.88,494
GUJARAT,Ahmadabad,24,7,1307282,267896,117825,2109,119934,44.77,474
GUJARAT,Amreli,24,13,1073080,212437,71515,869,72384,34.07,480
GUJARAT,Anand,24,15,1391831,289935,121924,525,122449,42.23,482
GUJARAT,Banas Kantha,24,2,2686589,482360,225774,3078,228852,47.44,469
GUJARAT,Bharuch,24,21,1038599,228889,96342,337,96679,42.24,488
GUJARAT,Bhavnagar,24,14,1573139,302091,71104,619,71723,23.74,481
GUJARAT,Dohad,24,18,1913347,292221,202555,337,202892,69.43,485
GUJARAT,Gandhinagar,24,6,905825,187728,64759,533,65292,34.78,473
GUJARAT,Jamnagar,24,10,1027303,211460,50957,766,51723,24.46,477
GUJARAT,Junagadh,24,12,1707678,330673,103740,1353,105093,31.78,479
GUJARAT,Kachchh,24,1,1269047,270766,109425,1061,110486,40.80,468
GUJARAT,Kheda,24,16,1755332,360378,171130,995,172125,47.76,483
GUJARAT,Mahesana,24,4,1504281,313605,116731,1089,117820,37.57,471
GUJARAT,Narmada,24,20,541435,112382,83506,876,84382,75.08,487
GUJARAT,Navsari,24,23,959078,216236,100990,1156,102146,47.24,490
GUJARAT,Panch Mahals,24,17,2060439,379391,189812,730,190542,50.22,484
GUJARAT,Patan,24,3,1058791,211052,112536,1109,113645,53.85,470
GUJARAT,Porbandar,24,11,292753,62792,22002,463,22465,35.78,478
GUJARAT,Rajkot,24,9,1682607,340320,79611,1284,80895,23.77,476
GUJARAT,Sabar Kantha,24,5,2091063,412808,180803,1634,182437,44.19,472
GUJARAT,Surat,24,25,1234393,283634,122712,973,123685,43.61,492
GUJARAT,Surendranagar,24,8,1220431,244710,103209,2421,105630,43.17,475
GUJARAT,Tapi,24,26,743885,165389,96717,5011,101728,61.51,493
GUJARAT,Vadodara,24,19,2081762,447170,200543,470,201013,44.95,486
GUJARAT,Valsad,24,24,1179202,249281,117295,944,118239,47.43,491
HARYANA,Ambala,6,2,611092,114196,40226,173,40399,35.38,70
HARYANA,Bhiwani,6,13,1274332,244308,71487,341,71828,29.40,81
HARYANA,Faridabad,6,20,383782,66824,19088,187,19275,28.84,88
HARYANA,Fatehabad,6,10,728501,138546,51745,422,52167,37.65,78
HARYANA,Gurgaon,6,18,504865,95792,21330,137,21467,22.41,86
HARYANA,Hisar,6,12,1172222,224387,72697,362,73059,32.56,80
HARYANA,Jhajjar,6,15,657056,126621,28461,257,28718,22.68,83
HARYANA,Jind,6,9,965468,185184,67424,147,67571,36.49,77
HARYANA,Kaithal,6,5,814077,152125,63613,303,63916,42.02,73
HARYANA,Karnal,6,6,978660,183992,78386,563,78949,42.91,74
HARYANA,Kurukshetra,6,4,682842,129992,51401,315,51716,39.78,72
HARYANA,Mahendragarh,6,16,785457,144210,37972,284,38256,26.53,84
HARYANA,Mewat,6,19,949163,140478,63927,314,64241,45.73,87
HARYANA,Palwal,6,21,806976,130035,49512,418,49930,38.40,89
HARYANA,Panchkula,6,1,249042,47620,12575,80,12655,26.57,69
HARYANA,Panipat,6,7,624792,115331,38766,792,39558,34.30,75
HARYANA,Rewari,6,17,679785,133065,34883,147,35030,26.33,85
HARYANA,Rohtak,6,14,585261,109762,29189,126,29315,26.71,82
HARYANA,Sirsa,6,11,914353,175850,60247,467,60714,34.53,79
HARYANA,Sonipat,6,8,951606,178864,50220,449,50669,28.33,76
HARYANA,Yamunanagar,6,3,716289,132327,53980,235,54215,40.97,71
HIMACHAL PRADESH,Bilaspur,2,8,332006,70768,9973,49,10022,14.16,30
HIMACHAL PRADESH,Chamba,2,1,469553,92274,30211,76,30287,32.82,23
HIMACHAL PRADESH,Hamirpur,2,6,419738,96745,16218,438,16656,17.22,28
HIMACHAL PRADESH,Kangra,2,2,1375738,309461,55628,341,55969,18.09,24
HIMACHAL PRADESH,Kinnaur,2,12,76372,18287,6150,32,6182,33.81,34
HIMACHAL PRADESH,Kullu,2,4,384540,79798,23208,84,23292,29.19,26
HIMACHAL PRADESH,Mandi,2,5,920413,198952,42800,148,42948,21.59,27
HIMACHAL PRADESH,Shimla,2,11,567159,121586,24089,107,24196,19.90,33
HIMACHAL PRADESH,Sirmaur,2,10,453638,82214,21458,101,21559,26.22,32
HIMACHAL PRADESH,Solan,2,9,444062,90043,12816,283,13099,14.55,31
HIMACHAL PRADESH,Una,2,7,467505,97451,15074,226,15300,15.70,29
JAMMU AND KASHMIR,Anantnag,1,14,666691,123476,41275,2261,43536,35.26,14
JAMMU AND KASHMIR,Bandipore,1,9,306346,47848,17633,494,18127,37.88,9
JAMMU AND KASHMIR,Doda,1,16,380715,74110,33300,1543,34843,47.02,16
JAMMU AND KASHMIR,Ganderbal,1,11,250302,40450,13354,552,13906,34.38,11
JAMMU AND KASHMIR,Jammu,1,21,816469,170917,44050,397,44447,26.01,21
JAMMU AND KASHMIR,Kargil,1,4,110791,15923,5828,210,6038,37.92,4
JAMMU AND KASHMIR,Kathua,1,7,522802,99768,34244,1258,35502,35.58,7
JAMMU AND KASHMIR,Kishtwar,1,18,209262,42273,20913,295,21208,50.17,18
JAMMU AND KASHMIR,Kulgam,1,15,334495,61426,24329,621,24950,40.62,15
JAMMU AND KASHMIR,Kupwara,1,1,674054,107636,38054,740,38794,36.04,1
JAMMU AND KASHMIR,Pulwama,1,12,443291,79308,20322,1346,21668,27.32,12
JAMMU AND KASHMIR,Punch,1,5,425695,81685,42555,882,43437,53.18,5
JAMMU AND KASHMIR,Rajouri,1,6,605243,127822,65136,711,65847,51.51,6
JAMMU AND KASHMIR,Ramban,1,17,278459,55171,31256,112,31368,56.86,17
JAMMU AND KASHMIR,Reasi,1,20,280452,52339,28134,86,28220,53.92,20
JAMMU AND KASHMIR,Samba,1,22,270503,55578,9687,239,9926,17.86,22
