State,District,censuscode,Out_num_ac,Out_amt,NPA_num_ac,NPA_amt,per_NPA_num_ac,per_NPA_amt
West Bengal,24 PARGANAS NORTH,337,26358.00,23977.73,311.00,334.54,1.18,1.40
West Bengal,24 PARGANAS SOUTH,343,22374.00,19655.69,412.00,235.13,1.84,1.20
West Bengal,BANKURA,339,19991.00,17187.28,17187.28,108.60,0.98,0.63
West Bengal,BIRBHUM,334,31764.00,41739.03,41739.03,962.15,4.39,2.31
West Bengal,COOCHBEHAR,329,14717.00,14679.14,14679.14,116.84,2.23,0.80
West Bengal,DARJEELING(GTA),327,3182.00,2943.57,112.00,31.24,3.52,1.06
West Bengal,DINAJPUR DAKSHIN,331,7370.00,7327.52,126.00,65.10,1.71,0.89
West Bengal,DINAJPUR UTTAR,330,13947.00,14335.40,307.00,160.61,2.20,1.12
West Bengal,HOOGHLY,338,17376.00,21085.61,21085.61,401.95,3.11,1.91
West Bengal,HOWRAH,341,17096.00,26864.74,26864.74,845.43,4.84,3.15
West Bengal,JALPAIGURI,328,15071.00,12552.07,12552.07,94.31,2.47,0.75
West Bengal,MALDAH,332,19855.00,20347.89,20347.89,345.95,2.85,1.70
West Bengal,MURSHIDABAD,333,25307.00,24029.16,24029.16,494.45,3.37,2.06
West Bengal,NADIA,336,18749.00,21906.38,21906.38,417.20,2.03,1.90
West Bengal,PASCHIM MEDINIPUR,344,17416.00,21237.68,21237.68,182.07,1.34,0.86
West Bengal,PURBA MEDINIPUR,345,32654.00,43799.78,43799.78,151.32,0.92,0.35
West Bengal,PURULIA,340,14604.00,11375.64,11375.64,39.77,1.22,0.35
Uttar Pradesh,AGRA,146,597.00,346.81,133.00,63.17,22.28,18.21
Uttar Pradesh,ALIGARH,143,391.00,161.26,115.00,46.46,29.41,28.81
Uttar Pradesh,ALLAHABAD,175,1743.00,658.37,213.00,84.70,12.22,12.87
Uttar Pradesh,AMBEDKAR NAGAR,178,492.00,80.68,105.00,33.50,21.34,41.52
Uttar Pradesh,AURAIYA,162,134.00,37.98,13.00,8.14,9.70,21.43
Uttar Pradesh,AZAMGARH,191,739.00,324.97,319.00,121.93,43.17,37.52
Uttar Pradesh,BAGHPAT,139,428.00,146.58,37.00,22.63,8.64,15.44
Uttar Pradesh,BAHRAICH,180,327.00,192.14,75.00,40.93,22.94,21.30
Uttar Pradesh,BALLIA,193,321.00,242.15,73.00,27.27,22.74,11.26
Uttar Pradesh,BALRAMPUR,182,98.00,65.47,37.00,26.60,37.76,40.63
Uttar Pradesh,BANDA,170,506.00,222.73,31.00,10.30,6.13,4.62
Uttar Pradesh,BARABANKI,176,139.00,109.51,48.00,22.01,34.53,20.10
Uttar Pradesh,BAREILLY,150,882.00,769.82,169.00,153.53,19.16,19.94
Uttar Pradesh,BASTI,185,322.00,126.10,54.00,32.57,16.77,25.83
Uttar Pradesh,BIJNOR,134,309.00,183.42,45.00,26.71,14.56,14.56
Uttar Pradesh,BUDAUN,149,246.00,183.06,73.00,42.81,29.67,23.39
Uttar Pradesh,BULANDSHAHR,142,447.00,216.68,65.00,19.55,14.54,9.02
Uttar Pradesh,CHANDAULI,196,663.00,282.91,365.00,125.40,55.05,44.32
Uttar Pradesh,CHITRAKOOT,171,224.00,126.90,31.00,12.87,13.84,10.14
Uttar Pradesh,DEORIA,190,513.00,276.87,37.00,18.78,7.21,6.78
Uttar Pradesh,ETAH,201,186.00,112.96,67.00,30.97,36.02,27.42
Uttar Pradesh,ETAWAH,161,382.00,149.97,28.00,23.27,7.33,15.52
Uttar Pradesh,FAIZABAD,177,535.00,261.17,157.00,62.16,29.35,23.80
Uttar Pradesh,FARRUKHABAD,159,84.00,52.67,29.00,11.74,34.52,22.29
Uttar Pradesh,FATEHPUR,172,1412.00,631.05,150.00,83.58,10.62,13.24
Uttar Pradesh,FIROZABAD,147,132.00,121.18,58.00,53.53,43.94,44.17
Uttar Pradesh,GAUTAM BUDDHA NAGAR,141,89.00,72.63,28.00,28.03,31.46,38.59
Uttar Pradesh,GHAZIABAD,140,484.00,252.08,100.00,59.31,20.66,23.53
Uttar Pradesh,GHAZIPUR,195,929.00,449.14,810.00,342.52,87.19,76.26
Uttar Pradesh,GONDA,183,912.00,688.70,102.00,45.44,11.18,6.60
Uttar Pradesh,GORAKHPUR,188,1212.00,626.72,120.00,57.66,9.90,9.20
Uttar Pradesh,HAMIRPUR,168,347.00,432.03,46.00,28.68,13.26,6.64
Uttar Pradesh,HARDOI,155,254.00,174.77,67.00,27.37,26.38,15.66
Uttar Pradesh,JALAUN,165,423.00,336.26,55.00,40.14,13.00,11.94
Uttar Pradesh,JAUNPUR,194,1713.00,771.08,1091.00,480.13,63.69,62.27
Uttar Pradesh,JHANSI,166,440.00,184.71,150.00,48.23,34.09,26.11
Uttar Pradesh,JYOTIBA PHOOLE NAGAR,137,28.00,29.59,13.00,7.05,46.43,23.83
Uttar Pradesh,KANNAUJ,160,108.00,60.23,22.00,21.60,20.37,35.86
Uttar Pradesh,KANPUR DEHAT,163,705.00,591.20,270.00,116.10,38.30,19.64
Uttar Pradesh,KANPUR NAGAR,164,268.00,122.46,69.00,41.87,25.75,34.19
Uttar Pradesh,KANSHIRAM NAGAR,202,11.00,7.48,1.00,0.76,9.09,10.16
Uttar Pradesh,KAUSHAMBI,174,464.00,179.55,103.00,46.05,22.20,25.65
Uttar Pradesh,KHERI,153,838.00,449.54,116.00,55.21,13.84,12.28
Uttar Pradesh,KUSHI NAGAR,189,258.00,90.98,67.00,17.16,25.97,18.86
Uttar Pradesh,LALITPUR,167,354.00,144.07,124.00,48.03,35.03,33.34
Uttar Pradesh,LUCKNOW,157,1618.00,1612.16,337.00,168.06,20.83,10.42
Uttar Pradesh,MAHAMAYA NAGAR,144,89.00,61.01,14.00,3.75,15.73,6.15
Uttar Pradesh,MAHARAJGANJ,187,336.00,132.73,54.00,19.71,16.07,14.85
Uttar Pradesh,MAHOBA,169,176.00,137.85,14.00,3.60,7.95,2.61
Uttar Pradesh,MAINPURI,148,188.00,117.87,54.00,35.55,28.72,30.16
Uttar Pradesh,MATHURA,145,325.00,247.74,116.00,75.49,35.69,30.47
Uttar Pradesh,MAU,192,656.00,295.03,101.00,22.25,15.40,7.54
Uttar Pradesh,MEERUT,138,393.00,233.60,126.00,96.74,32.06,41.41
Uttar Pradesh,MIRZAPUR,199,1809.00,1001.57,192.00,76.93,10.61,7.68
Uttar Pradesh,MORADABAD,135,117.00,153.66,40.00,22.44,34.19,14.60
Uttar Pradesh,MUZAFFARNAGAR,133,564.00,284.78,112.00,59.93,19.86,21.04
Uttar Pradesh,PILIBHIT,151,261.00,156.79,100.00,87.04,38.31,55.51
Uttar Pradesh,PRATAPGARH,173,632.00,190.04,174.00,51.34,27.53,27.02
Uttar Pradesh,RAE BARELI,158,2754.00,1427.80,538.00,388.35,19.54,27.20
Uttar Pradesh,RAMPUR,136,101.00,58.21,43.00,26.81,42.57,46.06
Uttar Pradesh,SAHARANPUR,132,1090.00,583.82,571.00,278.69,52.39,47.74
Uttar Pradesh,SANT KABEER NAGAR,186,254.00,72.12,13.00,6.15,5.12,8.53
Uttar Pradesh,SANT RAVIDAS NAGAR,198,182.00,104.86,134.00,68.09,73.63,64.94
Uttar Pradesh,SHAHJAHANPUR,152,366.00,185.05,169.00,103.92,46.17,56.16
Uttar Pradesh,SHRAVASTI,181,125.00,96.93,26.00,12.64,20.80,13.04
Uttar Pradesh,SIDDHARTH NAGAR,184,103.00,50.72,22.00,6.95,21.36,13.70
Uttar Pradesh,SITAPUR,154,587.00,529.37,102.00,100.84,17.38,19.05
Uttar Pradesh,SONBHADRA,200,782.00,343.32,75.00,30.89,9.59,9.00
Uttar Pradesh,SULTANPUR,179,1458.00,452.65,235.00,99.09,16.12,21.89
Uttar Pradesh,UNNAO,156,145.00,91.54,29.00,21.62,20.00,23.62
Uttar Pradesh,VARANASI,197,822.00,531.97,333.00,217.92,40.51,40.96
Maharashtra,AHMEDNAGAR,522,4774.00,4936.62,384.00,354.34,8.04,7.18
Maharashtra,AKOLA,501,2188.00,1636.34,413.00,269.80,18.88,16.49
Maharashtra,AMRAVATI,503,6361.00,5064.57,1296.00,1382.45,20.37,27.30
Maharashtra,AURANGABAD,515,5555.00,5956.72,510.00,326.43,9.18,5.48
Maharashtra,BEED,523,2601.00,1971.01,410.00,291.61,15.76,14.79
Maharashtra,BHANDARA,506,2542.00,2063.85,132.00,170.03,5.19,8.24
Maharashtra,BULDHANA,500,3652.00,2677.07,330.00,171.48,9.04,6.41
Maharashtra,CHANDRAPUR,509,3820.00,2603.24,128.00,87.39,3.35,3.36
Maharashtra,DHULE,498,2097.00,1742.39,242.00,113.46,11.54,6.51
Maharashtra,GADCHIROLI,508,1112.00,451.70,82.00,25.82,7.37,5.72
Maharashtra,GONDIA,507,3945.00,3117.75,65.00,29.60,1.65,0.95
Maharashtra,HINGOLI,512,1375.00,1166.74,201.00,161.00,14.62,13.80
Maharashtra,JALGAON,499,6038.00,6267.10,359.00,219.87,5.95,3.51
Maharashtra,JALNA,514,6368.00,6146.01,640.00,375.61,10.05,6.11
Maharashtra,KOLHAPUR,530,5421.00,5153.91,312.00,210.57,5.76,4.09
Maharashtra,LATUR,524,4270.00,4141.84,374.00,337.95,8.76,8.16
Maharashtra,NAGPUR,505,4904.00,4109.35,618.00,645.78,12.60,15.71
Maharashtra,NANDED,511,5872.00,6846.06,1075.00,1098.91,18.31,16.05
Maharashtra,NANDURBAR,497,2174.00,1527.55,377.00,308.64,17.34,20.20
Maharashtra,NASHIK,516,2641.00,2813.94,357.00,299.90,13.52,10.66
Maharashtra,OSMANABAD,525,4065.00,3425.32,389.00,247.87,9.57,7.24
Maharashtra,PARBHANI,513,3341.00,3088.71,546.00,465.39,16.34,15.07
Maharashtra,PUNE,521,4792.00,5768.70,468.00,407.08,9.77,7.06
Maharashtra,RAIGAD,520,2014.00,1678.34,121.00,63.83,6.01,3.80
Maharashtra,RATNAGIRI,528,3264.00,2145.06,52.00,12.34,1.59,0.58
Maharashtra,SANGLI,531,2869.00,3459.40,115.00,95.97,4.01,2.77
Maharashtra,SATARA,527,4618.00,4340.71,452.00,246.52,9.79,5.68
Maharashtra,SINDHUDURG,529,1811.00,1419.56,36.00,17.02,1.99,1.20
Maharashtra,SOLAPUR,526,6929.00,8326.47,256.00,219.94,3.69,2.64
Maharashtra,THANE,517,4836.00,5251.35,177.00,100.73,3.66,1.92
Maharashtra,WARDHA,504,6950.00,5025.48,831.00,1092.54,11.96,21.74
Maharashtra,WASHIM,502,2277.00,1950.62,181.00,129.89,7.95,6.66
Maharashtra,YAVATMAL,510,5420.00,5140.65,820.00,613.63,15.13,11.94
Jharkhand,BOKARO,355,1824.00,671.60,65.00,9.79,3.56,1.46
Jharkhand,CHATRA,347,804.00,257.69,52.00,25.89,6.47,10.05
Jharkhand,DEOGHAR,350,610.00,224.44,54.00,21.54,8.85,9.60
Jharkhand,DHANBAD,354,915.00,271.66,48.00,12.00,5.25,4.42
Jharkhand,DUMKA,362,1292.00,379.03,83.00,27.34,6.42,7.21
Jharkhand,EAST SINGHBUM,357,2587.00,1182.68,498.00,311.86,19.25,26.37
Jharkhand,GARHWA,346,893.00,360.20,17.00,5.10,1.90,1.42
Jharkhand,GIRIDIH,349,4581.00,1796.81,84.00,20.66,1.83,1.15
Jharkhand,GODDA,351,1662.00,707.34,42.00,11.18,2.53,1.58
Jharkhand,GUMLA,366,3474.00,1147.39,78.00,32.15,2.25,2.80
Jharkhand,HAZARIBAGH,360,3054.00,1152.28,248.00,85.82,8.12,7.45
Jharkhand,JAMTARA,363,500.00,148.91,19.00,4.54,3.80,3.05
Jharkhand,KHUNTI,365,369.00,155.08,15.00,11.79,4.07,7.60
Jharkhand,KODERMA,348,437.00,189.89,28.00,14.71,6.41,7.75
Jharkhand,LATEHAR,359,2106.00,493.19,34.00,5.47,1.61,1.11
Jharkhand,LOHARDAGA,356,990.00,264.20,23.00,6.35,2.32,2.40
Jharkhand,PAKUR,353,4300.00,2688.96,39.00,12.19,0.91,0.45
Jharkhand,PALAMU,358,4519.00,1985.19,59.00,42.18,1.31,2.12
Jharkhand,RAMGARH,361,1073.00,438.82,9.00,0.60,0.84,0.14
Jharkhand,RANCHI,364,7479.00,5436.12,382.00,739.99,5.11,13.61
Jharkhand,SAHEBGANJ,352,979.00,530.27,13.00,3.86,1.33,0.73
Jharkhand,SARAIKELA-KHARSAWAN,369,1011.00,355.21,27.00,23.84,2.67,6.71
Jharkhand,SIMDEGA,367,1272.00,651.20,1.00,0.01,0.08,0.00
Jharkhand,WEST SINGHBHUM,368,4645.00,2244.91,62.00,18.21,1.33,0.81
Bihar,ARARIA,209,5708.00,2476.27,249.00,69.69,4.36,2.81
Bihar,ARWAL,240,3514.00,2783.84,0.00,0.00,0.00,0.00
Bihar,AURANGABAD,235,11840.00,9014.77,103.00,46.56,0.87,0.52
Bihar,BANKA,225,7519.00,4870.62,10.00,7.26,0.13,0.15
Bihar,BEGUSARAI,222,12392.00,9082.35,41.00,14.91,0.33,0.16
Bihar,BHAGALPUR,224,11633.00,6915.73,64.00,24.73,0.55,0.36
Bihar,BHOJPUR,231,10035.00,7752.91,32.00,24.62,0.32,0.32
Bihar,BUXAR,232,7311.00,6606.16,15.00,10.29,0.21,0.16
Bihar,DARBHANGA,215,9884.00,3136.84,340.00,96.62,3.44,3.08
Bihar,GAYA,236,23462.00,20814.86,630.00,264.53,2.69,1.27
